pos,age,muslim,rel_others,yoruba,igbo,eth_others,nc,nw,se,ss,sw,lat,lng,wealth,urban
0,35,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,65302,0
0,15,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-16112,0
0,15,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,17542,0
0,17,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,17542,0
0,22,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,17542,0
0,32,0,0,0,0,1,1,0,0,0,0,7.854454,7.876807,-77778,0
0,33,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-83710,0
0,43,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-24048,0
0,30,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-15013,0
0,23,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-15013,0
0,18,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-15013,0
0,40,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-80534,0
0,19,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-80534,0
0,17,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-80534,0
0,15,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-80534,0
0,39,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-62769,0
0,20,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-62769,0
0,49,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-61830,0
0,25,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-61830,0
0,35,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-61830,0
0,18,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-77134,0
0,35,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-54770,0
0,19,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-54770,0
0,16,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-76670,0
0,21,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-69241,0
0,40,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,35649,0
0,40,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-84374,0
0,15,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-84374,0
1,45,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-23070,0
0,35,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-8126,0
0,36,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-8126,0
0,38,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-57991,0
0,20,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-57991,0
0,16,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-57991,0
0,30,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-72255,0
0,40,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-40833,0
0,40,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-65754,0
0,34,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-73240,0
0,17,1,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-73240,0
0,25,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-63504,0
0,30,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-63504,0
0,35,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-72288,0
0,20,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-72288,0
0,22,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,16629,0
0,22,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,16629,0
0,16,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-55010,0
0,15,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-91213,0
0,32,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,-91213,0
0,40,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,3142,0
0,15,0,0,0,0,1,1,0,0,0,0,7.781454,7.940457,3142,0
0,24,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,80332,0
0,27,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-41067,0
0,37,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,20023,0
0,24,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,114981,0
0,35,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,93361,0
0,16,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,93361,0
0,40,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,64065,0
0,15,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,64065,0
0,25,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-20672,0
0,20,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-20672,0
0,30,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-20672,0
0,16,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-33996,0
0,23,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,23030,0
0,20,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-61871,0
0,45,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-21600,0
0,17,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,16320,0
0,44,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-96200,0
0,15,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-15680,0
0,19,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-643,0
0,18,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-643,0
0,18,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,26934,0
0,31,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,18416,0
0,20,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-21667,0
0,18,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-21667,0
0,29,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-67156,0
0,35,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-29406,0
0,15,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-2551,0
0,25,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-57151,0
0,21,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-53337,0
0,40,0,0,0,0,1,1,0,0,0,0,7.176902,9.197081,-74698,0
